experiment,geometry,cluster_size,rho,nominal_breadth,launch_target_per_3y,service_probability,service_half_width,mean_launches_per_3y,variance_launches_per_3y,effective_breadth,n_runs
E8_launch_service,Diversified,1,0.0,37,2,0.982092,0.0005198591550175788,5.593784,4.765535623486492,36.864602587899526,250000
E8_launch_service,Diversified,1,0.0,37,3,0.9328,0.0009814427523926195,5.593784,4.765535623486492,36.864602587899526,250000
E8_launch_service,Diversified,1,0.0,38,1,0.997964,0.0001766983082079344,5.74316,4.886564760659051,37.91131167635342,250000
E8_launch_service,Diversified,1,0.0,38,2,0.984616,0.0004824520399004661,5.74316,4.886564760659051,37.91131167635342,250000
E8_launch_service,Diversified,1,0.0,38,3,0.940264,0.0009290285070843552,5.74316,4.886564760659051,37.91131167635342,250000
E8_launch_service,Diversified,1,0.0,39,1,0.998276,0.00016262226770867756,5.893012,5.018185640598562,38.878537434036,250000
E8_launch_service,Diversified,1,0.0,39,2,0.986624,0.000450323939440748,5.893012,5.018185640598562,38.878537434036,250000
E8_launch_service,Diversified,1,0.0,39,3,0.94688,0.0008791491730735115,5.893012,5.018185640598562,38.878537434036,250000
E8_launch_service,Diversified,1,0.0,40,1,0.998504,0.00015150493111096552,6.043216,5.145168958019837,39.883628232717896,250000
E8_launch_service,Diversified,1,0.0,40,2,0.988564,0.00041679791314259913,6.043216,5.145168958019837,39.883628232717896,250000
E8_launch_service,Diversified,1,0.0,40,3,0.953064,0.0008290870606405731,6.043216,5.145168958019837,39.883628232717896,250000
E8_launch_service,Diversified,1,0.0,41,1,0.998748,0.000138616903393976,6.193952,5.271931709422833,40.893327139217156,250000
E8_launch_service,Diversified,1,0.0,41,2,0.990152,0.00038708917064507746,6.193952,5.271931709422833,40.893327139217156,250000
E8_launch_service,Diversified,1,0.0,41,3,0.958468,0.0007821072263484122,6.193952,5.271931709422833,40.893327139217156,250000
E8_launch_service,Diversified,1,0.0,42,1,0.998996,0.00012414659086313113,6.345124,5.401523030716119,41.883458192803566,250000
E8_launch_service,Diversified,1,0.0,42,2,0.991584,0.0003580994761150612,6.345124,5.401523030716119,41.883458192803566,250000
E8_launch_service,Diversified,1,0.0,42,3,0.963092,0.000739060872993552,6.345124,5.401523030716119,41.883458192803566,250000
E8_launch_service,Diversified,1,0.0,43,1,0.999148,0.00011437227928468439,6.494068,5.528274924475689,42.88348361524674,250000
E8_launch_service,Diversified,1,0.0,43,2,0.992792,0.00033160616072574746,6.494068,5.528274924475689,42.88348361524674,250000
E8_launch_service,Diversified,1,0.0,43,3,0.967304,0.0006971317638354868,6.494068,5.528274924475689,42.88348361524674,250000
E8_launch_service,Diversified,1,0.0,44,1,0.999268,0.00010601873001543504,6.644244,5.656112292913177,43.881806307842766,250000
E8_launch_service,Diversified,1,0.0,44,2,0.99376,0.00030868755281572395,6.644244,5.656112292913177,43.881806307842766,250000
E8_launch_service,Diversified,1,0.0,44,3,0.970928,0.0006585928853655968,6.644244,5.656112292913177,43.881806307842766,250000
E8_launch_service,Diversified,1,0.0,45,1,0.999384,9.726187088124941e-05,6.795352,5.783470329977315,44.888915798765595,250000
E8_launch_service,Diversified,1,0.0,45,2,0.99458,0.00028780979567596325,6.795352,5.783470329977315,44.888915798765595,250000
E8_launch_service,Diversified,1,0.0,45,3,0.974424,0.0006188371319477156,6.795352,5.783470329977315,44.888915798765595,250000
E8_launch_service,Diversified,1,0.0,46,1,0.999464,9.073023583538901e-05,6.946144,5.913115183724727,45.8765633614463,250000
E8_launch_service,Diversified,1,0.0,46,2,0.995316,0.00026765477951413817,6.946144,5.913115183724727,45.8765633614463,250000
E8_launch_service,Diversified,1,0.0,46,3,0.977424,0.0005823057311719284,6.946144,5.913115183724727,45.8765633614463,250000
E8_launch_service,Diversified,1,0.0,47,1,0.99956,8.220852185120431e-05,7.09686,6.041798307593223,46.87126137642542,250000
E8_launch_service,Diversified,1,0.0,47,2,0.995868,0.00025145895835592487,7.09686,6.041798307593223,46.87126137642542,250000
E8_launch_service,Diversified,1,0.0,47,3,0.98006,0.0005479929561964819,7.09686,6.041798307593223,46.87126137642542,250000
E8_launch_service,Diversified,1,0.0,48,1,0.999664,7.184271427852407e-05,7.248324,6.166835858367431,47.89831864187303,250000
E8_launch_service,Diversified,1,0.0,48,2,0.99648,0.00023216229701964852,7.248324,6.166835858367431,47.89831864187303,250000
E8_launch_service,Diversified,1,0.0,48,3,0.982472,0.0005144134796841372,7.248324,6.166835858367431,47.89831864187303,250000
E8_launch_service,Diversified,1,0.0,49,1,0.999724,6.511494336259864e-05,7.399644,6.292841844631376,48.91709733369727,250000
E8_launch_service,Diversified,1,0.0,49,2,0.996944,0.00021637053750584622,7.399644,6.292841844631376,48.91709733369727,250000
E8_launch_service,Diversified,1,0.0,49,3,0.984632,0.0004822050074031242,7.399644,6.292841844631376,48.91709733369727,250000
E8_launch_service,Diversified,1,0.0,50,1,0.99976,6.0721091025773545e-05,7.549508,6.42452665604262,49.883833280610226,250000
E8_launch_service,Diversified,1,0.0,50,2,0.997324,0.00020251036511347703,7.549508,6.42452665604262,49.883833280610226,250000
E8_launch_service,Diversified,1,0.0,50,3,0.986392,0.00045415906590522847,7.549508,6.42452665604262,49.883833280610226,250000
E8_launch_service,MSOG trios,3,0.25,1,1,0.15092,0.001403245864230157,0.15092,0.12814366617466472,1.0,250000
E8_launch_service,MSOG trios,3,0.25,1,2,0.0,0.0,0.15092,0.12814366617466472,1.0,250000
E8_launch_service,MSOG trios,3,0.25,1,3,0.0,0.0,0.15092,0.12814366617466472,1.0,250000
E8_launch_service,MSOG trios,3,0.25,2,1,0.263844,0.0017276056126554144,0.301708,0.2864094283737135,1.7890134336104364,250000
E8_launch_service,MSOG trios,3,0.25,2,2,0.037864,0.0007481997266061152,0.301708,0.2864094283737135,1.7890134336104364,250000
E8_launch_service,MSOG trios,3,0.25,2,3,0.0,0.0,0.301708,0.2864094283737135,1.7890134336104364,250000
E8_launch_service,MSOG trios,3,0.25,3,1,0.351936,0.0018720905988700509,0.452404,0.4748325201140805,2.427270892549052,250000
E8_launch_service,MSOG trios,3,0.25,3,2,0.087388,0.001107018948294869,0.452404,0.4748325201140805,2.427270892549052,250000
E8_launch_service,MSOG trios,3,0.25,3,3,0.01308,0.00044538020829740514,0.452404,0.4748325201140805,2.427270892549052,250000
E8_launch_service,MSOG trios,3,0.25,4,1,0.450084,0.0019502084425349721,0.603356,0.602751948271793,3.400061287556633,250000
E8_launch_service,MSOG trios,3,0.25,4,2,0.126908,0.0013048499444664088,0.603356,0.602751948271793,3.400061287556633,250000
E8_launch_service,MSOG trios,3,0.25,4,3,0.024284,0.0006034035938265876,0.603356,0.602751948271793,3.400061287556633,250000
E8_launch_service,MSOG trios,3,0.25,5,1,0.523608,0.0019578140173468752,0.754524,0.7615085794583178,4.206552346582126,250000
E8_launch_service,MSOG trios,3,0.25,5,2,0.181236,0.0015100372849264966,0.754524,0.7615085794583178,4.206552346582126,250000
E8_launch_service,MSOG trios,3,0.25,5,3,0.042676,0.0007923323602292119,0.754524,0.7615085794583178,4.206552346582126,250000
E8_launch_service,MSOG trios,3,0.25,6,1,0.580996,0.0019341124597037622,0.906288,0.950805864279457,4.855233055520383,250000
E8_launch_service,MSOG trios,3,0.25,6,2,0.237268,0.001667599036159138,0.906288,0.950805864279457,4.855233055520383,250000
E8_launch_service,MSOG trios,3,0.25,6,3,0.071016,0.0010068581447281446,0.906288,0.950805864279457,4.855233055520383,250000
E8_launch_service,MSOG trios,3,0.25,7,1,0.644664,0.0018761708363608323,1.05714,1.0780073324293298,5.827840425208516,250000
E8_launch_service,MSOG trios,3,0.25,7,2,0.288732,0.0017764384378720491,1.05714,1.0780073324293298,5.827840425208516,250000
E8_launch_service,MSOG trios,3,0.25,7,3,0.095944,0.0011544965615123198,1.05714,1.0780073324293298,5.827840425208516,250000
E8_launch_service,MSOG trios,3,0.25,8,1,0.692028,0.0018096872102161584,1.208232,1.2386523887855552,6.624988640648168,250000
E8_launch_service,MSOG trios,3,0.25,8,2,0.343068,0.0018609571834726792,1.208232,1.2386523887855552,6.624988640648168,250000
E8_launch_service,MSOG trios,3,0.25,8,3,0.127928,0.0013093177137064105,1.208232,1.2386523887855552,6.624988640648168,250000
E8_launch_service,MSOG trios,3,0.25,9,1,0.729596,0.0017411406099834834,1.360444,1.4276098333033334,7.280148415014138,250000
E8_launch_service,MSOG trios,3,0.25,9,2,0.394608,0.0019159640175873635,1.360444,1.4276098333033334,7.280148415014138,250000
E8_launch_service,MSOG trios,3,0.25,9,3,0.165224,0.0014558197616077045,1.360444,1.4276098333033334,7.280148415014138,250000
E8_launch_service,MSOG trios,3,0.25,10,1,0.770384,0.001648696696614669,1.5112,1.5551367805471217,8.248987680931435,250000
E8_launch_service,MSOG trios,3,0.25,10,2,0.44512,0.0019481579133129427,1.5112,1.5551367805471217,8.248987680931435,250000
E8_launch_service,MSOG trios,3,0.25,10,3,0.199876,0.0015676353222501187,1.5112,1.5551367805471217,8.248987680931435,250000
E8_launch_service,MSOG trios,3,0.25,11,1,0.80064,0.001566115260229131,1.660684,1.7128595035820142,9.054837242782344,250000
E8_launch_service,MSOG trios,3,0.25,11,2,0.492952,0.001959805267054616,1.660684,1.7128595035820142,9.054837242782344,250000
E8_launch_service,MSOG trios,3,0.25,11,3,0.23772,0.0016686920253498668,1.660684,1.7128595035820142,9.054837242782344,250000
E8_launch_service,MSOG trios,3,0.25,12,1,0.824456,0.0014912923964028818,1.81202,1.9022991287965154,9.704488819922718,250000
E8_launch_service,MSOG trios,3,0.25,12,2,0.536128,0.001954876793328547,1.81202,1.9022991287965154,9.704488819922718,250000
E8_launch_service,MSOG trios,3,0.25,12,3,0.278392,0.0017569730994880686,1.81202,1.9022991287965154,9.704488819922718,250000
