strategy,topology,rho,loe_year,acceleration_years,cannibalization,capacity_profile,risk_policy_profile,minimum_synergy,solution_exists,binding_P5_NPV_usd_m,binding_capacity_breach_probability,delta_eNPV_at_frontier_usd_m,n_runs
MSOG,same_indication,0.1,15.0,1.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.0,0.0,high,balanced,0.21,True,-999.4137847376085,0.02704,406.8857566454327,100000
MSOG,same_indication,0.1,15.0,1.0,0.0,high,growth,0.0,True,-1175.82010020594,0.09376,209.60966667865046,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,high,balanced,0.22,True,-997.3040860935519,0.02704,533.7672299042148,100000
MSOG,same_indication,0.1,15.0,1.5,0.0,high,growth,0.0,True,-1190.266435314048,0.09376,324.5020097666001,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,high,balanced,0.19,True,-996.9177731667368,0.02745,168.6628020696849,100000
MSOG,same_indication,0.1,18.0,0.0,0.0,high,growth,0.01,True,-1140.6398836483202,0.09376,3.610392965199242,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,high,balanced,0.2,True,-998.9873428875355,0.02745,284.17049882815803,100000
MSOG,same_indication,0.1,18.0,0.5,0.0,high,growth,0.0,True,-1161.8183631345016,0.09376,98.5707498331292,100000
