nominal_breadth,launch_target_per_3y,service_probability,analytic_probability
58,3,0.995108,0.9952997164419597
59,1,0.999932,0.9999375850427932
59,2,0.999172,0.9992808943498963
59,3,0.99578,0.9958848055966695
60,1,0.99994,0.9999470309256625
60,2,0.999264,0.9993802779535073
60,3,0.996316,0.9963987698451794
61,1,0.99994,0.9999550472681271
61,2,0.999372,0.9994660503777844
61,3,0.996776,0.9968499914373322
62,1,0.999948,0.9999618504169063
62,2,0.999456,0.9995400551925967
62,3,0.99712,0.9972459059334152
63,1,0.999956,0.9999676239767955
63,2,0.999552,0.999603889703777
63,3,0.997468,0.9975931026015955
64,1,0.99996,0.9999725237658308
64,2,0.999644,0.9996589372675698
64,3,0.997764,0.9978974152262007
65,1,0.999968,0.9999766820205387
65,2,0.9997,0.9997063954645231
65,3,0.998012,0.9981640040635406
66,1,0.999972,0.999980210964763
66,2,0.999744,0.9997473006459655
66,3,0.998272,0.9983974296583696
67,1,0.999988,0.9999832058383847
67,2,0.999776,0.9997825493057236
67,3,0.998496,0.9986017192038257
68,1,0.999988,0.9999857474676769
68,2,0.999796,0.9998129166758106
68,3,0.99874,0.9987804260928501
69,1,0.999992,0.9999879044466597
69,2,0.999832,0.9998390728968389
69,3,0.998876,0.9989366832713649
70,1,0.999996,0.9999897349883313
70,2,0.999864,0.999861597071328
70,3,0.999,0.9990732509642084
71,1,0.999996,0.999991288495731
71,2,0.999876,0.9998809894703505
71,3,0.999128,0.9991925593050538
72,1,0.999996,0.99999260689524
72,2,0.999888,0.9998976821305872
72,3,0.999204,0.9992967463620682
73,1,0.999996,0.9999937257680989
73,2,0.999924,0.9999120480494058
73,3,0.999296,0.9993876920125245
74,1,1.0,0.9999946753106811
74,2,0.999932,0.9999244091596
74,3,0.99938,0.9994670480824126
75,1,1.0,0.9999954811494395
75,2,0.999932,0.9999350432425584
75,3,0.999444,0.999536265131617
76,1,1.0,0.9999961650325183
76,2,0.999952,0.9999441899185286
76,3,0.99952,0.9995966162316633
77,1,1.0,0.9999967454166964
77,2,0.99996,0.9999520558349825
77,3,0.999564,0.9996492180515073
78,1,1.0,0.9999972379655028
78,2,0.99996,0.999958819158603
78,3,0.999636,0.9996950495374061
79,1,1.0,0.9999976559719472
79,2,0.999968,0.9999646334628369
79,3,0.999676,0.999734968445594
80,1,1.0,0.9999980107172746
80,2,0.999972,0.9999696310910828
80,3,0.999724,0.9997697259612461
81,1,1.0,0.9999983117754258
81,2,0.999972,0.9999739260651864
81,3,0.999768,0.9997999796139907
82,1,1.0,0.9999985672714206
82,2,0.999976,0.9999776165998422
82,3,0.999792,0.9998263046789598
83,1,1.0,0.9999987841006382
83,2,0.999976,0.9999807872755683
83,3,0.999808,0.9998492042329344
84,1,1.0,0.999998968114911
84,2,0.99998,0.9999835109160102
84,3,0.999852,0.9998691180174489
85,1,1.0,0.999999124280454
85,2,0.999984,0.9999858502092956
85,3,0.999868,0.9998864302446656
86,1,1.0,0.9999992568118956
86,2,0.999992,0.999987859107915
86,3,0.999884,0.9999014764672826
87,1,1.0,0.999999369286022
87,2,0.999992,0.9999895840370281
87,3,0.999892,0.9999145496206078
88,1,1.0,0.9999994647383081
88,2,0.999996,0.9999910649371196
88,3,0.999908,0.9999259053330906
89,1,1.0,0.9999995457448405
89,2,0.999996,0.9999923361634683
89,3,0.999924,0.9999357665909526
90,1,1.0,0.9999996144918399
90,2,0.999996,0.9999934272618881
90,3,0.999932,0.9999443278329988
91,1,1.0,0.999999672834665
91,2,0.999996,0.9999943636375908
91,3,0.99994,0.99995175854312
92,1,1.0,0.9999997223478837
92,2,0.999996,0.999995167131752
92,3,0.999952,0.9999582064003327
93,1,1.0,0.9999997643677695
93,2,0.999996,0.9999958565183983
93,3,0.999964,0.9999638000393477
94,1,1.0,0.9999998000283635
94,2,0.999996,0.9999964479325253
94,3,0.999968,0.9999686514685541
95,1,1.0,0.9999998302920814
95,2,1.0,0.9999969552388838
95,3,0.999976,0.9999728581868569
96,1,1.0,0.9999998559756866
96,2,1.0,0.9999973903495842
96,3,0.999976,0.9999765050359637
97,1,1.0,0.9999998777723337
97,2,1.0,0.9999977634975667
97,3,0.999984,0.9999796658204131
98,1,1.0,0.9999998962702751
98,2,1.0,0.9999980834720199
98,3,0.999992,0.9999824047238146
99,1,1.0,0.999999911968737
99,2,1.0,0.9999983578210021
99,3,0.999992,0.9999847775463833
100,1,1.0,0.9999999252913929
100,2,1.0,0.9999985930258011
100,3,0.999992,0.9999868327858503
101,1,1.0,0.9999999365977974
