experiment,geometry,cluster_size,rho,nominal_breadth,launch_target_per_3y,service_probability,service_half_width,mean_launches_per_3y,variance_launches_per_3y,effective_breadth,n_runs
E6,Diversified,1,0.0,36,2,0.979936,0.0005496594297155514,5.449412,4.6070272823651335,36.13671347427822,250000
E6,Diversified,1,0.0,36,3,0.925796,0.001027442143073321,5.449412,4.6070272823651335,36.13671347427822,250000
E6,Diversified,1,0.0,37,1,0.997652,0.0001897250395669867,5.600384,4.7381100049840175,37.113956073781694,250000
E6,Diversified,1,0.0,37,2,0.98242,0.000515162331440334,5.600384,4.7381100049840175,37.113956073781694,250000
E6,Diversified,1,0.0,37,3,0.934092,0.000972635148604239,5.600384,4.7381100049840175,37.113956073781694,250000
E6,Diversified,1,0.0,38,1,0.997948,0.00017738982337793568,5.751448,4.866929371013482,38.1094472948117,250000
E6,Diversified,1,0.0,38,2,0.984756,0.0004802859197374103,5.751448,4.866929371013482,38.1094472948117,250000
E6,Diversified,1,0.0,38,3,0.941488,0.0009200595403351017,5.751448,4.866929371013482,38.1094472948117,250000
E6,Diversified,1,0.0,39,1,0.998244,0.00016412195329208487,5.902716,4.9933517967511865,39.12482378357114,250000
E6,Diversified,1,0.0,39,2,0.9867,0.000449060082287437,5.902716,4.9933517967511865,39.12482378357114,250000
E6,Diversified,1,0.0,39,3,0.947996,0.0008703775774523021,5.902716,4.9933517967511865,39.12482378357114,250000
E6,Diversified,1,0.0,40,1,0.99844,0.00015470678178076125,6.053664,5.125996679090709,40.089739445422026,250000
E6,Diversified,1,0.0,40,2,0.988484,0.0004182362935363228,6.053664,5.125996679090709,40.089739445422026,250000
E6,Diversified,1,0.0,40,3,0.95344,0.0008259223848334422,6.053664,5.125996679090709,40.089739445422026,250000
E6,Diversified,1,0.0,41,1,0.998684,0.0001421111185233631,6.205236,5.252399193900767,41.10691062224241,250000
E6,Diversified,1,0.0,41,2,0.989976,0.00039049810355103404,6.205236,5.252399193900767,41.10691062224241,250000
E6,Diversified,1,0.0,41,3,0.958616,0.0007807727301391366,6.205236,5.252399193900767,41.10691062224241,250000
E6,Diversified,1,0.0,42,1,0.99892,0.00012875476158589065,6.357804,5.378737812535247,42.130003596653395,250000
E6,Diversified,1,0.0,42,2,0.991304,0.000363956317213451,6.357804,5.378737812535247,42.130003596653395,250000
E6,Diversified,1,0.0,42,3,0.9634,0.00073608832704778,6.357804,5.378737812535247,42.130003596653395,250000
E6,Diversified,1,0.0,43,1,0.99908,0.00011884478061337188,6.510136,5.511511307549225,43.10144685284421,250000
E6,Diversified,1,0.0,43,2,0.992576,0.00033650144507813543,6.510136,5.511511307549225,43.10144685284421,250000
E6,Diversified,1,0.0,43,3,0.967572,0.0006943649575638034,6.510136,5.511511307549225,43.10144685284421,250000
E6,Diversified,1,0.0,44,1,0.999236,0.00010830955772130823,6.661152,5.636676579602316,44.12527352955834,250000
E6,Diversified,1,0.0,44,2,0.993536,0.00031414383769277725,6.661152,5.636676579602316,44.12527352955834,250000
E6,Diversified,1,0.0,44,3,0.971616,0.0006509838208945911,6.661152,5.636676579602316,44.12527352955834,250000
E6,Diversified,1,0.0,45,1,0.999372,9.820406782665277e-05,6.812448,5.763423300989209,45.13825876098986,250000
E6,Diversified,1,0.0,45,2,0.994388,0.0002928349006506527,6.812448,5.763423300989209,45.13825876098986,250000
E6,Diversified,1,0.0,45,3,0.974924,0.0006129154634398396,6.812448,5.763423300989209,45.13825876098986,250000
E6,Diversified,1,0.0,46,1,0.99946,9.10679699881345e-05,6.96294,5.895022136488547,46.10888165379433,250000
E6,Diversified,1,0.0,46,2,0.995068,0.00027461482643471223,6.96294,5.895022136488547,46.10888165379433,250000
E6,Diversified,1,0.0,46,3,0.977776,0.0005778523286594197,6.96294,5.895022136488547,46.10888165379433,250000
