experiment,strategy,rho_true,cannibalization_true,loe_year,acceleration_years,rnd_cost_synergy,capacity_profile,risk_policy_profile,assumed_value_choice,true_value_oracle,eNPV_regret_usd_m,P5_regret_usd_m,governance_choice_under_independence_additivity,governance_oracle_under_truth,wrong_governance_choice,selected_true_capacity_breach_probability,oracle_capacity_breach_probability,incremental_capacity_breach_probability,value_selected_true_capacity_breach_probability,value_selected_incremental_breach_vs_diversified,value_selected_true_P5_NPV_usd_m,value_selected_P5_shortfall_vs_diversified_usd_m,concentrated_true_P5_NPV_usd_m,diversified_P5_NPV_usd_m,concentrated_true_eNPV_usd_m,diversified_eNPV_usd_m,n_runs
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,base,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.91909,-0.03543000000000007,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,base,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.91909,-0.03543000000000007,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,base,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.91909,-0.03543000000000007,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,high,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.02413,-0.07123,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,high,balanced,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.02413,0.02413,0.0,0.02413,-0.07123,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.0,12.0,0.0,0.3,high,growth,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.02413,0.02413,0.0,0.02413,-0.07123,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-199.07621757402737,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,low,preservation,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.99569,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,low,balanced,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.99569,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,low,growth,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.99569,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,base,preservation,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.95452,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,base,balanced,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.95452,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,base,growth,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.95452,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,high,preservation,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.09536,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,high,balanced,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.09536,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.0,high,growth,diversified,diversified,0.0,0.0,diversified,diversified,False,0.09536,0.09536,0.0,0.09536,0.0,-1148.2457813904614,0.0,-1148.2457813904614,-1148.2457813904614,-511.7437852081057,-471.5690924597016,100000
