experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,mean_peak_annual_RnD_linear_proxy_usd_m,low_capacity_breach_probability,low_breach_half_width,base_capacity_breach_probability,base_breach_half_width,high_capacity_breach_probability,high_breach_half_width
E4,MSOG,same_indication,0.0,18.0,0.5,0.07,0.0,0.0,100000,673.4341611118349,4.592476721809472,787.9324431874342,1452.2686542221409,-1101.315747706451,-836.4706488808675,-1228.5327791938716,0.37502,1046.9915325602353,0.643208794119919,169.5993016027757,0.42073085511798947,168.77466912674444,170.42393407880698,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,333.03814133333333,0.37741,0.0030044421305843788,0.3739,0.0029988563014322644,0.09533,0.0018201868072529256
E4,MSOG,same_indication,0.0,18.0,0.5,0.08,0.0,0.0,100000,682.7265826524534,4.598003180668735,795.924241113471,1454.0162739611897,-1093.6419870555897,-828.4788509548307,-1218.349058544996,0.37502,1037.699111019617,0.6579234533424853,178.89172314339413,0.42856178856976246,178.0517420377974,179.73170424899087,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,329.9368853333333,0.37723,0.003004159762907692,0.3739,0.0029988563014322644,0.05673,0.0014337732526287412
E4,MSOG,same_indication,0.0,18.0,0.5,0.09,0.0,0.0,100000,692.0190041930719,4.603545892856798,803.9160390395077,1455.7690334540948,-1085.968226404728,-820.487053028794,-1208.1653378961203,0.37485,1028.4066894789987,0.6729040284088931,188.18414468401252,0.4364936310152325,187.32861716722266,189.03967220080239,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,326.8356293333333,0.3771,0.0030039555565021265,0.3739,0.0029988563014322644,0.05673,0.0014337732526287412
E4,MSOG,same_indication,0.0,18.0,0.5,0.1,0.0,0.0,100000,701.3114257336903,4.609104799736986,811.9078369655444,1457.5269141583124,-1078.2944657538667,-812.4952551027573,-1197.9816172472445,0.37485,1019.1142679383801,0.6881577932888822,197.47656622463097,0.4445209807563184,196.60530510234858,198.34782734691336,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,323.73437333333334,0.3771,0.0030039555565021265,0.3739,0.0029988563014322644,0.05673,0.0014337732526287412
E4,MSOG,same_indication,0.0,18.0,0.5,0.11,0.0,0.0,100000,710.6038472743088,4.614679842784254,819.8996348915812,1459.2898975665976,-1070.620705103005,-804.5034571767205,-1187.7978965983687,0.37442,1009.8218463977616,0.7036922896936486,206.7689877652494,0.45263875648159607,205.88181580254547,207.6561597279533,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,320.63311733333336,0.37709,0.003003939838790118,0.3739,0.0029988563014322644,0.0371,0.0011714766038807604
E4,MSOG,same_indication,0.0,18.0,0.5,0.12,0.0,0.0,100000,719.896268814927,4.620270963586554,827.891432817618,1461.0579652074393,-1061.57545278492,-797.8831509179075,-1177.6141759494928,0.37423,1000.5294248571433,0.719515339509095,216.06140930586784,0.46084217963072915,215.1581586337916,216.96465997794408,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,317.5318613333333,0.37709,0.003003939838790118,0.3739,0.0029988563014322644,0.02725,0.0010091133330800857
E4,MSOG,same_indication,0.0,18.0,0.5,0.13,0.0,0.0,100000,729.1886903555455,4.625878103846199,835.8832307436547,1462.8310986454899,-1050.571566295994,-793.2214788299351,-1167.430455300617,0.37423,991.2370033165249,0.7356350579284203,225.35383084648632,0.46912675718332897,224.434342402407,226.27331929056564,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,314.4306053333333,0.37709,0.003003939838790118,0.3739,0.0029988563014322644,0.02725,0.0010091133330800857
E4,MSOG,same_indication,0.0,18.0,0.5,0.14,0.0,0.0,100000,738.481111896164,4.631501205381181,843.8750286696916,1464.609279481983,-1039.567679807068,-788.5598067419627,-1157.2467346517412,0.3742,981.9445817759064,0.7520598673303701,234.6462523871047,0.4774882649917586,233.71037538772086,235.58212938648856,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,311.3293493333333,0.37709,0.003003939838790118,0.3739,0.0029988563014322644,0.02725,0.0010091133330800857
E4,MSOG,same_indication,0.0,18.0,0.5,0.15,0.0,0.0,100000,747.7735334367824,4.637140210126486,851.8668265957283,1466.392489355149,-1028.5637933181424,-783.8981346539903,-1147.0630140028654,0.3742,972.6521602352882,0.7687985119530225,243.93867392772313,0.48592273174372386,242.98626537350543,244.89108248194083,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,308.22809333333333,0.37709,0.003003939838790118,0.3739,0.0029988563014322644,0.02648,0.0009951476019132036
E4,MSOG,same_indication,0.0,18.0,0.5,0.16,0.0,0.0,100000,757.0659549774009,4.642795060135374,859.858624521765,1468.18070994062,-1017.5599068292166,-779.2364625660178,-1136.8792933539899,0.37419,963.3597386946697,0.7858600734168193,253.23109546834155,0.4944264236129326,252.2620196780602,254.2001712586229,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,305.12683733333336,0.37709,0.003003939838790118,0.3739,0.0029988563014322644,0.02418,0.0009520704307358778
