experiment,policy,rho,common_shock_probability,acceleration_years,loe_year,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,mean_peak_annual_RnD_usd_m,mean_first_launch_year,probability_two_launches_by_year_9,low_capacity_breach_probability,low_mean_funding_need_usd_m,low_P95_funding_need_usd_m,base_capacity_breach_probability,base_mean_funding_need_usd_m,base_P95_funding_need_usd_m,high_capacity_breach_probability,high_mean_funding_need_usd_m,high_P95_funding_need_usd_m
E5,parallel,0.415,0.0,1.5,18.0,100000,826.243159891262,6.9888336228154975,-559.4006505566923,2210.0632436063092,-1225.2505355833287,-909.8176432046507,-1675.6231322608146,0.51921,1134.2795121372026,0.7284299425760232,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,13.251003083861127,0.90471,0.48927,528.552,4.62532957262861,0.24108,0.52008,2873.192275,6148.75,0.51073,2349.4348375,5148.75,0.0955,1327.0570875,3148.75
E5,staged,0.415,0.0,1.5,12.0,100000,-561.0868258880625,1.7040689296084959,-559.4006505566923,538.873910748799,-1474.2849226370358,-1273.6042814188352,-1647.2385469445321,0.80152,1031.4011324735372,-0.5440044694758549,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,5.050325518674493,0.89671,0.48572,390.76466666666664,5.793437161485478,0.20295,1.0,4912.80236,6898.750000000002,0.97678,3913.4029975,5898.750000000002,0.16294,1979.28801,3898.750000000002
E5,staged,0.415,0.0,1.5,15.0,100000,-54.353073720902245,3.116365216922181,-559.4006505566923,985.4812106398799,-1296.2312782078134,-1090.8126167088717,-1473.7176480686355,0.61818,1031.4011324735372,-0.05269828780442685,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,8.041527119187364,0.90413,0.48907,390.76466666666664,5.793437161485478,0.20295,0.82889,3542.7387975,6498.75,0.64721,2737.2606225,5498.75,0.10819,1447.5008225,3498.75
E5,staged,0.415,0.0,1.5,18.0,100000,359.86193982748233,4.6234174672480615,-559.4006505566923,1462.0529770310816,-1185.941191242482,-1090.8126167088717,-1443.2573716384604,0.55587,1031.4011324735372,0.348905899457809,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,11.041156834786838,0.90468,0.48926,390.76466666666664,5.793437161485478,0.20295,0.58083,3026.145565,6148.75,0.54002,2439.298265,5148.75,0.09699,1350.1093875,3148.75
E5,parallel,0.415,0.05,0.0,12.0,100000,-473.43609937412737,1.8037719923082627,-559.4006505566923,570.402787531383,-1442.6683468073456,-1148.2457813904614,-1679.6725005849491,0.84204,1100.0351884675679,-0.4303826862426643,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,6.0,0.90458,0.48083,366.8536666666667,6.0,0.24253,0.96766,4497.4383125,6498.75,0.90185,3531.4358375,5498.75,0.10751,1721.6801,3498.75
E5,parallel,0.415,0.05,0.0,15.0,100000,81.04274690211389,3.9416797269693853,-559.4006505566923,1246.4685744133885,-1442.6683468073456,-1148.2457813904614,-1680.8441445241674,0.57746,1100.0351884675679,0.07367286769708936,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,9.0,0.90458,0.48083,366.8536666666667,6.0,0.24253,0.75747,3448.6459125,6498.75,0.6378,2691.0041625,5498.75,0.10448,1367.1973625,3498.75
E5,parallel,0.415,0.05,0.0,18.0,100000,497.63091089628466,5.662667641580195,-559.4006505566923,1790.6927379927415,-1442.6683468073456,-1148.2457813904614,-1680.8441445241674,0.54595,1100.0351884675679,0.4523772658486699,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,12.0,0.90458,0.48083,366.8536666666667,6.0,0.24253,0.55252,2969.79675,6498.75,0.51917,2402.6520875,5498.75,0.10448,1359.7545375,3498.75
E5,staged,0.415,0.05,0.0,12.0,100000,-751.8338982202846,1.2036022605433314,-559.4006505566923,380.6124540244339,-1459.8971212476597,-1331.4634045150904,-1573.4258186764478,1.0,984.0738592625013,-0.764001493529901,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,3.4604125671582393,0.80333,0.44591,318.9363333333334,7.084291745523366,0.0,1.0,5511.9581033333325,7298.749999999997,1.0,4511.958103333333,6298.749999999997,0.26016,2511.958103333333,4298.749999999997
E5,staged,0.415,0.05,0.0,15.0,100000,-358.12980196980476,2.0113183847898464,-559.4006505566923,636.034719570688,-1330.1602382052963,-1107.524509777834,-1438.1676084608955,0.65092,984.0738592625013,-0.3639257344344047,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,6.307700811426297,0.88174,0.47035,318.9363333333334,7.084291745523366,0.0,0.95963,4123.854538333333,6826.749999999998,0.69848,3175.185288333333,5826.749999999998,0.14907,1680.4838008333331,3826.749999999998
E5,staged,0.415,0.05,0.0,18.0,100000,34.60231294210816,3.429310609088401,-559.4006505566923,1084.443232889867,-1241.2211096880792,-1075.027247090695,-1346.2805886979875,0.63082,984.0738592625013,0.03516231288578311,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,9.273231776072874,0.89854,0.47794,318.9363333333334,7.084291745523366,0.0,0.64332,3317.352000833333,6498.749999999998,0.61033,2669.322950833333,5498.749999999998,0.11933,1463.9253658333332,3498.749999999998
