strategy,topology,rho,loe_year,acceleration_years,cannibalization,capacity_profile,risk_policy_profile,minimum_synergy,solution_exists,binding_P5_NPV_usd_m,binding_capacity_breach_probability,delta_eNPV_at_frontier_usd_m,n_runs
MSOG,same_indication,0.0,12.0,1.5,0.25,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.25,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.25,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.25,high,balanced,0.2,True,-998.8471168185526,0.0216,415.20572655168564,100000
MSOG,same_indication,0.0,12.0,1.5,0.25,high,growth,0.0,True,-1190.266435314048,0.09535,224.70292638635482,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,high,balanced,0.2,True,-998.8471168185526,0.0216,310.1739305169969,100000
MSOG,same_indication,0.0,12.0,1.5,0.5,high,growth,0.0,True,-1190.266435314048,0.09535,119.67113035166606,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,high,balanced,0.2,True,-961.5022449734774,0.0216,183.6340689483992,100000
MSOG,same_indication,0.0,15.0,0.0,0.0,high,growth,0.0,True,-1148.2457813904614,0.09533,0.0,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,high,balanced,0.2,True,-961.5022449734774,0.0216,135.4719635851962,100000
MSOG,same_indication,0.0,15.0,0.0,0.1,high,growth,0.1,True,-1070.035845375231,0.05673,43.65492911099659,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,high,balanced,0.2,True,-961.5022449734774,0.0216,63.228805540391676,100000
MSOG,same_indication,0.0,15.0,0.0,0.25,high,growth,0.2,True,-961.5022449734774,0.0216,63.228805540391676,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,high,balanced,0.3,True,-852.9686445717239,0.01476,34.64057660658372,100000
MSOG,same_indication,0.0,15.0,0.0,0.5,high,growth,0.3,True,-852.9686445717239,0.01476,34.64057660658372,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,high,balanced,0.2,True,-973.5443608735134,0.0216,290.4007816308153,100000
MSOG,same_indication,0.0,15.0,0.5,0.0,high,growth,0.0,True,-1161.8183631345016,0.09533,104.55235081844674,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,high,balanced,0.2,True,-973.5443608735134,0.0216,238.69187701055736,100000
MSOG,same_indication,0.0,15.0,0.5,0.1,high,growth,0.0,True,-1161.8183631345016,0.09533,52.84344619818877,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,high,balanced,0.2,True,-973.5443608735134,0.0216,161.12852008017038,100000
MSOG,same_indication,0.0,15.0,0.5,0.25,high,growth,0.1,True,-1078.2944657538667,0.05673,68.20430467398609,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,high,balanced,0.2,True,-973.5443608735134,0.0216,31.85625852952545,100000
MSOG,same_indication,0.0,15.0,0.5,0.5,high,growth,0.2,True,-973.5443608735134,0.0216,31.85625852952545,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,high,balanced,0.2,True,-985.9875931767822,0.0216,402.51388570951104,100000
MSOG,same_indication,0.0,15.0,1.0,0.0,high,growth,0.0,True,-1175.82010020594,0.09533,214.37682036299512,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,high,balanced,0.2,True,-985.9875931767822,0.0216,347.0850666457705,100000
MSOG,same_indication,0.0,15.0,1.0,0.1,high,growth,0.0,True,-1175.82010020594,0.09533,158.94800129925457,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,high,balanced,0.2,True,-985.9875931767822,0.0216,263.9418380501597,100000
MSOG,same_indication,0.0,15.0,1.0,0.25,high,growth,0.0,True,-1175.82010020594,0.09533,75.80477270364375,100000
MSOG,same_indication,0.0,15.0,1.0,0.5,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.5,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.5,low,growth,,False,,,,100000
