experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,low_capacity_breach_probability,base_capacity_breach_probability,high_capacity_breach_probability
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.07,0.0,250000,103.29796135563787,2.2352640534392814,-139.39280399403674,1117.6320267196406,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.09391713661289894,19.137482139024584,2.198619695555257,14.82818753573628,23.44677674231289,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.08,0.0,250000,106.30870716218838,2.242114170835358,-135.4021223708142,1121.057085417679,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.09665446677420793,22.148227945575112,2.2030347939759007,17.830279749382345,26.46617614176788,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.09,0.0,250000,109.31945296873887,2.248968560009819,-131.41144074759166,1124.4842800049096,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.09939179693551689,25.158973752125608,2.2074666710150774,20.832339076936055,29.48560842731516,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.1,0.0,250000,112.3301987752894,2.2558271820229394,-127.42075912436911,1127.9135910114696,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.10212912709682588,28.169719558676135,2.2119152258179637,23.834365716072927,32.50507340127935,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.11,0.0,250000,115.34094458183989,2.2626899983832223,-123.43007750114657,1131.3449991916111,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.10486645725813484,31.180465365226603,2.2163803579614396,26.83635986362218,35.52457086683103,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.12,0.0,250000,118.35169038839042,2.2695569710413483,-119.43939587792403,1134.7784855206742,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.10760378741944383,34.19121117177714,2.2208619674572807,29.83832171556087,38.54410062799341,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.13,0.0,250000,121.36243619494093,2.276428062384201,-115.44871425470149,1138.2140311921005,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.11034111758075281,37.20195697832765,2.225359954755222,32.84025146700742,41.56366248964788,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.14,0.0,250000,124.37318200149143,2.283303235228995,-111.45803263147894,1141.6516176144976,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.11307844774206179,40.21270278487815,2.2298742207458933,35.84214931221619,44.5832562575401,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.15,0.0,250000,127.3839278080419,2.2901824528174832,-107.46735100825641,1145.0912264087417,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.11581577790337073,43.22344859142865,2.23440466676362,38.84401544457195,47.60288173828535,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.16,0.0,250000,130.39467361459245,2.297065678810253,-103.47666938503386,1148.5328394051264,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.11855310806467974,46.23419439797918,2.238951194589105,41.84585005658454,50.62253873937382,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
