experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,low_capacity_breach_probability,base_capacity_breach_probability,high_capacity_breach_probability
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.2,0.0,0.25,100000,-365.0463373377463,1.11074029144992,-327.69060172635784,351.24692099009974,-961.5022449734774,-804.8314392706775,-1085.1304093645904,0.87683,917.3326050763183,-0.3979432708677961,106.52275512195538,0.41928870007142977,105.70094926981538,107.34456097409539,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,1.0,0.99944,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.3,0.0,0.25,100000,-273.2293028635467,1.1295998980451132,-248.59925786629267,357.2108522516541,-852.9686445717239,-713.9730533344037,-983.8745224809411,0.69534,825.5155706021187,-0.33098019297716863,198.3397895961549,0.4139060897806422,197.52853366018485,199.15104553212495,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,1.0,0.99569,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.0,0.0,0.5,100000,-625.7917201125892,0.9794191583333609,-559.4006505566923,309.7195324338504,-1148.2457813904614,-1148.2457813904614,-1233.8892661725422,1.0,1100.9666740247173,-0.5684020551002981,-154.22262765288758,0.9899385025699676,-156.16290711792473,-152.28234818785043,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,1.0,1.0,0.09537
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.1,0.0,0.5,100000,-533.9746856383897,0.9522058755641244,-512.783929676968,301.11393681775024,-1072.1868039690485,-991.325159232557,-1206.575784369888,1.0,1009.1496395505178,-0.529133306608746,-62.40559317868803,0.9384432231922804,-64.2449418961449,-60.56624446123116,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,1.0,1.0,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.2,0.0,0.5,100000,-442.15765116419004,0.9349888651086722,-446.7383214422678,295.6694400639341,-961.5022449734774,-829.0903707798961,-1085.1647645452451,1.0,917.3326050763183,-0.4820036361047086,29.411441295511587,0.8952357980501633,27.656779131333266,31.166103459689907,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,1.0,1.0,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.3,0.0,0.5,100000,-350.3406166899906,0.9283244761211004,-338.20472104051424,293.561975222527,-852.9686445717239,-744.2967177209271,-983.768170532113,0.86315,825.5155706021187,-0.42439007714228505,121.22847576971117,0.8615640380931994,119.5398102550485,122.91714128437384,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,1.0,1.0,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.0,0.0,0.0,100000,85.38614566574705,2.9677481293003547,127.09499006028994,938.4843610293011,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.44846,1100.9666740247173,0.0775556133353316,0.0,0.0,0.0,0.0,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77312,0.60888,0.09533
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.1,0.0,0.0,100000,177.20318013994665,3.013830465821319,206.18633392035508,953.0568753601618,-1070.035845375231,-807.2064950938525,-1186.539786580206,0.44846,1009.1496395505178,0.17559653513712215,91.81703447419959,0.1001848458349625,91.62067217636306,92.01339677203612,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77312,0.60888,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.2,0.0,0.0,100000,269.0202146141462,3.0624978695714535,285.2776777804203,968.4468597259064,-961.5022449734774,-760.589774214128,-1085.9738946100078,0.38716,917.3326050763183,0.2932635481672047,183.6340689483992,0.20036969166992483,183.24134435272614,184.02679354407226,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77312,0.5129,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.3,0.0,0.0,100000,360.83724908834574,3.113629125669367,364.36902164048536,984.6159826153843,-852.9686445717239,-713.9730533344037,-985.4080026398096,0.38277,825.5155706021187,0.43710532173870015,275.45110342259875,0.3005545375048873,274.86201652908915,276.04019031610835,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77312,0.45431,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.0,0.0,0.1,100000,37.22404030254404,2.7165630501701803,127.09499006028994,859.0526645992034,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.44848,1100.9666740247173,0.03381032430933358,-48.16210536320302,0.3091473877048385,-48.7680342431045,-47.556176483301535,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77327,0.60888,0.09533
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.1,0.0,0.1,100000,129.0410747767436,2.7606546919940587,206.18633392035508,872.995665993183,-1070.035845375231,-807.2064950938525,-1186.539786580206,0.44846,1009.1496395505178,0.12787110030006987,43.65492911099659,0.2673266088357165,43.13096895767858,44.1788892643146,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77312,0.60888,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.2,0.0,0.1,100000,220.85810925094322,2.8076302922531764,285.2776777804203,887.8506551204239,-961.5022449734774,-760.589774214128,-1085.9738946100078,0.38716,917.3326050763183,0.24076121139569517,135.4719635851962,0.2596708126232771,134.96300879245456,135.98091837793783,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77312,0.5129,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.3,0.0,0.1,100000,312.6751437251428,2.857347615218781,364.36902164048536,903.5726530941746,-852.9686445717239,-713.9730533344037,-985.4080026398096,0.38277,825.5155706021187,0.3787634720167449,227.28899805939577,0.2889089004084373,226.72273661459522,227.8552595041963,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77312,0.45431,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.0,0.0,0.25,100000,-35.019117742260455,2.365668822530718,127.09499006028994,748.0901668845725,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.44861,1100.9666740247173,-0.031807609229663435,-120.40526340800751,0.7728684692620963,-121.92008560776122,-118.8904412082538,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.79529,0.60888,0.09533
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.1,0.0,0.25,100000,56.79791673193911,2.405549855744134,206.18633392035508,760.7016569240943,-1070.035845375231,-807.2064950938525,-1186.539786580206,0.44861,1009.1496395505178,0.05628294804449149,-28.58822893380793,0.7224947660324392,-30.00431867523151,-27.17213919238435,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77552,0.60888,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.2,0.0,0.25,100000,148.6149512061387,2.448882448325629,285.2776777804203,774.4046258718582,-961.5022449734774,-760.589774214128,-1085.9738946100078,0.38716,917.3326050763183,0.1620077062384309,63.228805540391676,0.6831879022486809,61.889757251984264,64.56785382879909,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77385,0.5129,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.3,0.0,0.25,100000,240.4319856803383,2.49548680413942,364.36902164048536,789.1422171975073,-852.9686445717239,-713.9730533344037,-985.4080026398096,0.38277,825.5155706021187,0.29125069743381193,155.04584001459125,0.6569373937321481,153.75824272287625,156.33343730630625,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.77327,0.45431,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.0,0.0,0.5,100000,-155.42438115026798,1.892062456258001,127.09499006028994,598.3226837067989,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.47077,1100.9666740247173,-0.1411708317946585,-240.81052681601503,1.5457369385241926,-243.84017121552245,-237.7808824165076,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.96897,0.61128,0.09533
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.1,0.0,0.5,100000,-63.60734667606842,1.9195878416440264,205.91522825000288,607.0269748361742,-1070.035845375231,-807.2064950938525,-1186.539786580206,0.451,1009.1496395505178,-0.06303063904813914,-148.99349234181545,1.4928535467729696,-151.91948529349048,-146.06749939014043,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.95452,0.61105,0.05673
